subject,doctor_i,doctor_j,try_i,try_j,same_doctor,dice,iou
S10,A,B,2,1,False,5.780347e-09,5.780346787396839e-09
S10,A,B,2,2,False,1.8484289e-09,1.8484288320731443e-09
S10,A,B,2,3,False,1.3089005e-09,1.3089005218469888e-09
S10,A,C,2,1,False,1.9762845e-09,1.9762845810745364e-09
S10,A,C,2,2,False,2.6666667e-09,2.6666666595555553e-09
S10,A,C,2,3,False,2.5510205e-09,2.55102040165556e-09
S10,A,D,2,1,False,5.128205e-09,5.12820510190664e-09
S10,A,D,2,2,False,0.47142857,0.30841122141671756
S10,A,D,2,3,False,0.35964912,0.21925134107352223
S10,A,B,3,1,False,4.7393365e-09,4.7393364704296844e-09
S10,A,B,3,2,False,1.7271157e-09,1.7271157137700937e-09
S10,A,B,3,3,False,1.2468828e-09,1.2468827914627396e-09
S10,A,C,3,1,False,0.011029414,0.0055452883446482654
S10,A,C,3,2,False,2.4213076e-09,2.421307500190539e-09
S10,A,C,3,3,False,2.3255813e-09,2.3255813899405083e-09
S10,A,D,3,1,False,4.2918455e-09,4.291845475142294e-09
S10,A,D,3,2,False,0.76404494,0.6181818216528925
S10,A,D,3,3,False,0.33082706,0.198198201809918
S10,B,B,1,2,True,0.2721519,0.15750915905218102
S10,B,B,1,3,True,0.29707602,0.17445055058454595
S10,B,C,1,1,False,0.1239531,0.06607143023915815
S10,B,C,1,2,False,2.1459228e-09,2.1459227421761312e-09
S10,B,C,1,3,False,0.12836438,0.06858407285711489
S10,B,D,1,1,False,3.4965035e-09,3.4965034842779596e-09
S10,B,D,1,2,False,4.3290043e-09,4.329004310264051e-09
S10,B,D,1,3,False,3.1347962e-09,3.1347962284175666e-09
S10,B,B,2,3,True,0.7964023,0.6616847830683631
S10,B,C,2,1,False,0.6673575,0.5007776057530675
S10,B,C,2,2,False,0.5179856,0.34951456415936155
S10,B,C,2,3,False,0.46768507,0.305214724992002
S10,B,D,2,1,False,0.4648318,0.3027888460103808
S10,B,D,2,2,False,1.669449e-09,1.6694490790159447e-09
S10,B,D,2,3,False,1.4556041e-09,1.4556040735726286e-09
S10,B,C,3,1,False,0.57239056,0.40094339693284975
S10,B,C,3,2,False,0.40302745,0.25236966913226344
S10,B,C,3,3,False,0.36685288,0.22462941935618083
S10,B,D,3,1,False,0.34207526,0.20632737385649605
S10,B,D,3,2,False,1.216545e-09,1.2165450106854682e-09
S10,B,D,3,3,False,1.0989011e-09,1.0989010976935152e-09
S10,C,C,1,2,True,0.5281602,0.35884353850536815
S10,C,C,1,3,True,0.6544118,0.48633879874983826
S10,C,D,1,1,False,0.47819063,0.314225054534554
S10,C,D,1,2,False,1.7730496e-09,1.7730496422463657e-09
